id,name,rating,address,city,lat,lon
269,hechaa-cupertino-4,3.5,10619 S De Anza Blvd,Cupertino,37.31361,-122.03263
270,calibear-cyber-cafe-sunnyvale-6,4.5,1336 S Mary Ave,Sunnyvale,37.35065,-122.04962
271,happy-lemon-sunnyvale-2,6.2,605 E El Camino Real,Sunnyvale,37.36189,-122.02454
272,what8ver-express-cupertino-2,3.5,10118 Bandley Dr,Cupertino,37.32449874,-122.0340782
273,gong-cha-sunnyvale,4.5,1641 Hollenbeck Ave,Sunnyvale,37.33929,-122.04255
274,cafe-lattea-cupertino,3.5,19501 Stevens Creek Blvd,Cupertino,37.32324132,-122.0122615
275,t4-cupertino-cupertino,4,19505 Stevens Creek Blvd,Cupertino,37.32328,-122.01283
276,sharetea-sunnyvale-3,4,568 El Camino Real,Sunnyvale,37.36235728,-122.0272561
277,tea-chansii-cupertino,3,19449 Stevens Creek Blvd,Cupertino,37.32439893,-122.0111383
278,verde-tea-house-cupertino-2,3.5,10477 S De Anza Blvd,Cupertino,37.3162384,-122.0325089
279,bubble-tea-time-saratoga,4,18564 Prospect Rd,Saratoga,37.29165,-121.99636
280,the-tea-zone-and-fruit-bar-mountain-view,4.5,805 El Camino Real,Mountain View,37.38565,-122.08442
281,teaspoon-santa-clara-7,4,3450 El Camino Real,Santa Clara,37.35198771,-121.9912302
282,beastea-santa-clara,4,2785 El Camino Real,Santa Clara,37.35297,-121.97705
283,teaspoon-mountain-view,3.5,236 Castro St,Mountain View,37.3934799,-122.07956
284,tea-annie-mountain-view,4,1712 Miramonte Ave,Mountain View,37.3723,-122.08801
285,verde-tea-cafe-mountain-view,3.5,852 Villa St,Mountain View,37.39417106,-122.0795488
286,teafans-sunnyvale,3.5,927 E Arques Ave,Sunnyvale,37.3813699,-122.00808
287,85-c-bakery-cafe-san-jose-5,3.5,1183 S De Anza Blvd,San Jose,37.30358094,-122.0324032
288,matcha-love-san-jose-6,4,675 Saratoga Ave,San Jose,37.31496321,-121.9780952
289,bambu-sunnyvale-2,3.5,189 W Washington Ave,Sunnyvale,37.37631755,-122.0313259
290,icicles-cupertino,4,19622 Stevens Creek Blvd,Cupertino,37.32251774,-122.0179255
291,sunnywich-cafe-sunnyvale,4.5,223 East Maude Ave,Sunnyvale,37.38788224,-122.0245363
292,ocha-tea-café-and-restaurant-mountain-view-2,3.5,1350 Grant Rd,Mountain View,37.37704052,-122.0766833
293,bubble-bay-tea-santa-clara,3.5,4300 Great America Pkwy,Santa Clara,37.39287521,-121.9773912
294,jazen-tea-san-jose-4,3.5,1089 S De Anza Blvd,San Jose,37.3065639,-122.0328361
295,comebuy-tea-and-coffee-santa-clara,3.5,2712 Augustine Dr,Santa Clara,37.3822051,-121.9761898
